Stock,Date,Price,Open,High,Low,Volume,Previous Close,Intraday Price Change,Intraday %,Interday Price Change,Daily Return %,High-Low Range,High-Low % Range,Volume % Change,7-Day Moving Avg,7-Day Volatility,Risk Level,Day Type,Month,Year
Axis Bank,01/01/2020,748.70,754.90,759.95,747.20,"4,920,000",756.95,-6.2,-0.82%,-8.25,-1.09%,12.75,1.70%,,737.85,1.81%,Low,Down Day,January,2020
Axis Bank,02/01/2020,756.95,750.00,759.00,747.60,"5,160,000",742.95,6.95,0.93%,14,1.88%,11.4,1.51%,4.88%,736.61,1.71%,Low,Up Day,January,2020
Axis Bank,03/01/2020,742.95,753.15,756.25,740.50,"8,490,000",723.25,-10.2,-1.35%,19.7,2.72%,15.75,2.12%,64.53%,733.82,1.22%,Medium,Up Day,January,2020
Axis Bank,06/01/2020,723.25,739.45,739.60,721.70,"6,360,000",725.75,-16.2,-2.19%,-2.5,-0.34%,17.9,2.47%,-25.09%,734.53,1.35%,Medium,Down Day,January,2020
Axis Bank,07/01/2020,725.75,728.00,738.00,721.05,"9,100,000",724.5,-2.25,-0.31%,1.25,0.17%,16.95,2.34%,43.08%,737.82,1.27%,Medium,Up Day,January,2020
Axis Bank,08/01/2020,724.50,715.25,725.75,709.10,"8,970,000",742.85,9.25,1.29%,-18.35,-2.47%,16.65,2.30%,-1.43%,739.47,1.05%,Medium,Down Day,January,2020
Axis Bank,09/01/2020,742.85,733.55,745.00,731.00,"7,560,000",740.05,9.3,1.27%,2.8,0.38%,14,1.88%,-15.72%,741.67,0.56%,Medium,Up Day,January,2020
Axis Bank,10/01/2020,740.05,743.00,751.80,734.80,"8,550,000",737.4,-2.95,-0.40%,2.65,0.36%,17,2.30%,13.10%,739.44,0.92%,Medium,Up Day,January,2020
Axis Bank,13/01/2020,737.40,740.00,746.75,735.35,"6,420,000",747.9,-2.6,-0.35%,-10.5,-1.40%,11.4,1.55%,-24.91%,736.23,1.45%,Medium,Down Day,January,2020
Axis Bank,14/01/2020,747.90,740.00,751.40,734.20,"7,240,000",746.3,7.9,1.07%,1.6,0.21%,17.2,2.30%,12.77%,732.69,1.89%,Medium,Up Day,January,2020
Axis Bank,15/01/2020,746.30,747.05,749.00,738.00,"7,910,000",737.3,-0.75,-0.10%,9,1.22%,11,1.47%,9.25%,729.13,1.70%,Low,Up Day,January,2020
Axis Bank,16/01/2020,737.30,746.50,750.40,735.10,"6,490,000",739.9,-9.2,-1.23%,-2.6,-0.35%,15.3,2.08%,-17.95%,727.86,1.47%,Medium,Down Day,January,2020
Axis Bank,17/01/2020,739.90,734.85,742.45,730.85,"7,680,000",727.2,5.05,0.69%,12.7,1.75%,11.6,1.57%,18.34%,728.28,1.54%,Medium,Up Day,January,2020
